,budget,area size,environmental type,project type,soil type,material
0,131958,1668,Coastal,Industrial,Loamy,Steel
1,681155,3629,Mountain,Residential,Peaty,Composite
2,141932,4145,Suburban,Industrial,Clay,Concrete
3,375838,3026,Urban,Infrastructure,Peaty,Concrete
4,269178,4016,Coastal,Infrastructure,Chalky,Composite
5,654167,3867,Suburban,Commercial,Peaty,Composite
6,120268,7838,Rural,Commercial,Chalky,Brick
7,742180,4055,Suburban,Infrastructure,Sandy,Concrete
8,64886,5611,Coastal,Residential,Peaty,Wood
9,147337,7252,Urban,Industrial,Silty,Wood
10,531430,945,Urban,Infrastructure,Loamy,Wood
11,964698,6864,Rural,Residential,Silty,Composite
12,97498,4126,Mountain,Industrial,Loamy,Composite
13,909159,4516,Urban,Commercial,Peaty,Composite
14,922756,4375,Mountain,Residential,Peaty,Wood
15,185203,5997,Coastal,Residential,Loamy,Brick
16,201335,6738,Suburban,Infrastructure,Clay,Steel
17,288167,761,Mountain,Industrial,Peaty,Concrete
18,51090,5492,Coastal,Infrastructure,Clay,Steel
19,339365,4525,Coastal,Commercial,Clay,Concrete
20,74820,8783,Coastal,Commercial,Loamy,Composite
21,797201,4722,Rural,Industrial,Clay,Wood
22,331879,4675,Rural,Industrial,Clay,Steel
23,728315,9674,Mountain,Industrial,Sandy,Composite
24,337069,3943,Coastal,Infrastructure,Silty,Concrete
25,786997,5511,Mountain,Industrial,Clay,Steel
26,209041,1193,Urban,Industrial,Silty,Steel
27,801743,8847,Mountain,Infrastructure,Clay,Steel
28,113355,2312,Suburban,Commercial,Silty,Steel
29,245796,6224,Coastal,Commercial,Peaty,Steel
30,224176,1907,Mountain,Residential,Peaty,Composite
31,194779,8532,Rural,Commercial,Silty,Concrete
32,357449,9908,Suburban,Industrial,Clay,Concrete
33,431909,1910,Mountain,Commercial,Sandy,Brick
34,999436,3997,Mountain,Infrastructure,Silty,Wood
35,268795,4872,Mountain,Commercial,Chalky,Steel
36,496232,7894,Rural,Commercial,Sandy,Concrete
37,927040,1051,Mountain,Residential,Chalky,Wood
38,510186,9868,Urban,Residential,Silty,Wood
39,166730,4832,Urban,Industrial,Clay,Composite
40,880910,1497,Urban,Infrastructure,Chalky,Steel
41,394681,4576,Mountain,Industrial,Silty,Brick
42,159503,6599,Suburban,Infrastructure,Sandy,Wood
43,664811,6055,Rural,Infrastructure,Clay,Composite
44,537035,4552,Urban,Residential,Chalky,Steel
45,658143,5803,Urban,Commercial,Silty,Concrete
46,462366,8618,Suburban,Commercial,Clay,Brick
47,75725,6602,Urban,Residential,Clay,Steel
48,139981,5990,Rural,Industrial,Peaty,Composite
49,94654,9064,Suburban,Commercial,Clay,Composite
50,963277,6116,Coastal,Industrial,Silty,Composite
51,915778,2748,Rural,Commercial,Sandy,Composite
52,601723,1348,Rural,Industrial,Loamy,Composite
53,329030,6854,Mountain,Infrastructure,Peaty,Brick
54,338947,9195,Coastal,Infrastructure,Silty,Wood
55,565839,8570,Coastal,Commercial,Silty,Wood
56,912648,9394,Suburban,Industrial,Silty,Concrete
57,283538,4125,Urban,Industrial,Chalky,Wood
58,341236,814,Coastal,Infrastructure,Chalky,Composite
59,538178,2876,Suburban,Industrial,Sandy,Wood
60,575894,9732,Coastal,Residential,Silty,Wood
61,499492,4878,Rural,Industrial,Chalky,Composite
62,266840,8949,Coastal,Infrastructure,Chalky,Brick
63,483254,1074,Urban,Residential,Chalky,Composite
64,359457,6085,Suburban,Residential,Sandy,Wood
