budget,area size,soil type,project type,strength,material,suppliers,environmental type,labor cost,duration (days),risk factor,energy rating,maintenance cost,permit cost,insurance cost,warranty period (years),site accessibility,design complexity
131958,1668,Loamy,Industrial,67.65145936030548,Steel,495,Coastal,37030,62,0.4086891661828498,D,2512,1292,9145,5,Difficult,Simple
681155,3629,Peaty,Residential,40.43797923127633,Composite,442,Mountain,43891,606,0.3982289800744496,E,4504,284,23730,2,Easy,Simple
141932,4145,Clay,Industrial,13.920550383778135,Concrete,193,Suburban,6230,467,0.7816094216761589,B,13273,2186,5642,6,Difficult,Moderate
375838,3026,Peaty,Infrastructure,62.78200065160196,Concrete,475,Urban,49474,152,0.24633337111238374,D,3782,4861,3322,7,Moderate,Moderate
269178,4016,Chalky,Infrastructure,45.376587861833045,Composite,273,Coastal,3610,412,0.03152967191285205,B,3449,2242,8418,3,Easy,Complex
654167,3867,Peaty,Commercial,42.76853726896153,Composite,446,Suburban,11989,360,0.27115607932808394,C,11006,4502,16489,4,Moderate,Complex
120268,7838,Chalky,Commercial,33.79278562172433,Brick,224,Rural,10098,205,0.6484403986676314,C,12986,4778,5525,5,Moderate,Moderate
742180,4055,Sandy,Infrastructure,10.539810380526637,Concrete,361,Suburban,36973,482,0.9534289250369451,D,11901,2205,12807,1,Moderate,Simple
64886,5611,Peaty,Residential,26.41240152735642,Wood,94,Coastal,43891,103,0.39572198977492967,C,4443,4218,11133,8,Moderate,Simple
147337,7252,Silty,Industrial,52.681176803674454,Wood,207,Urban,3001,185,0.797541588018817,B,13801,397,19248,4,Difficult,Simple
531430,945,Loamy,Infrastructure,34.81628077790261,Wood,170,Urban,35072,557,0.20053680870089796,E,17518,959,11035,5,Easy,Simple
964698,6864,Silty,Residential,88.69498113371095,Composite,156,Rural,39113,55,0.8519117463213333,D,8400,1035,7926,4,Easy,Moderate
97498,4126,Loamy,Industrial,22.869969594072977,Composite,244,Mountain,9121,719,0.7654333823347906,E,13841,801,15533,2,Difficult,Simple
